entry_id,entry_type,date,line_no,dc,account,amount_eur,source_currency,source_amount,rate_source,rate_used,memo,status
TX_bb992164_0000,single,2025-04-22,1,D,2710,100.0,EUR,100.0,,,"card, dok. nr. 411, mok. ident. kodas 303104758, operacijos nr. RO1836763821L02",draft
TX_bb992164_0000,single,2025-04-22,2,C,2410,100.0,EUR,100.0,,,"card, dok. nr. 411, mok. ident. kodas 303104758, operacijos nr. RO1836763821L02",draft
TX_bb992164_0001,single,2025-01-08,1,D,61120,4.3,EUR,-4.3,,,"Min.pgr. banko pasl.mokestis už sausį 2025, operacijos nr. RO1722098994L01",draft
TX_bb992164_0001,single,2025-01-08,2,C,2710,4.3,EUR,-4.3,,,"Min.pgr. banko pasl.mokestis už sausį 2025, operacijos nr. RO1722098994L01",draft
TX_bb992164_0002,single,2025-01-09,1,D,61120,1.0,EUR,-1.0,,,"Mokestis, operacijos nr. RO1723533623L03",draft
TX_bb992164_0002,single,2025-01-09,2,C,2710,1.0,EUR,-1.0,,,"Mokestis, operacijos nr. RO1723533623L03",draft
TX_bb992164_0003,single,2025-01-09,1,D,61120,1.02,EUR,-1.02,,,"169045261 PLAIS palaikymo mokestis.+696/60+2025-01-08+Debeto mokėjimo nurodymas Nr. 696 Soc. dr. įmokų įsiskolinimas už 2024 m. 10-11 mėn. , dok. nr. 696/60-107, unik. mokėj. kodas 696/60-104, mok. ident. kodas 303104758, operacijos nr. RO1723533623L01",draft
TX_bb992164_0003,single,2025-01-09,2,C,2710,1.02,EUR,-1.02,,,"169045261 PLAIS palaikymo mokestis.+696/60+2025-01-08+Debeto mokėjimo nurodymas Nr. 696 Soc. dr. įmokų įsiskolinimas už 2024 m. 10-11 mėn. , dok. nr. 696/60-107, unik. mokėj. kodas 696/60-104, mok. ident. kodas 303104758, operacijos nr. RO1723533623L01",draft
TX_bb992164_0004,single,2025-01-09,1,D,635,94.06,EUR,-94.06,,,"+696/60+2025-01-08+Debeto mokėjimo nurodymas Nr. 696 Soc. dr. įmokų įsiskolinimas už 2024 m. 10-11 mėn. Delspinigiai draudėjų: 0,60 Eur. Įm, dok. nr. 696/60-108, unik. mokėj. kodas 696/60-103, mok. ident. kodas 303104758, operacijos nr. RD236099272",draft
TX_bb992164_0004,single,2025-01-09,2,C,2710,94.06,EUR,-94.06,,,"+696/60+2025-01-08+Debeto mokėjimo nurodymas Nr. 696 Soc. dr. įmokų įsiskolinimas už 2024 m. 10-11 mėn. Delspinigiai draudėjų: 0,60 Eur. Įm, dok. nr. 696/60-108, unik. mokėj. kodas 696/60-103, mok. ident. kodas 303104758, operacijos nr. RD236099272",draft
TX_bb992164_0005,conversion,2025-01-09,1,D,2710,10.62,EUR,10.62,LB_LT,0.83403,"+696/60+2025-01-08+Debeto mokėjimo nurodymas Nr. 696 Soc. dr. įmokų įsiskolinimas už 2024 m. 10-11 mėn. Delspinigiai draudėjų: 0,60 Eur. Įm 9.14 GBP/0.86069000/, operacijos nr. RO1723533647L03",draft
TX_bb992164_0005,conversion,2025-01-09,2,C,2715,10.96,GBP,-9.14,LB_LT,0.83403,"+696/60+2025-01-08+Debeto mokėjimo nurodymas Nr. 696 Soc. dr. įmokų įsiskolinimas už 2024 m. 10-11 mėn. Delspinigiai draudėjų: 0,60 Eur. Įm 9.14 GBP/0.86069000/, operacijos nr. RO1723533647L03",draft
TX_bb992164_0005,conversion,2025-01-09,3,D,636,0.34,EUR,0.34,LB_LT,0.83403,FX loss based on LB LT rate,draft
TX_bb992164_0006,single,2025-01-30,1,D,61120,1.0,EUR,-1.0,,,"Mokestis, operacijos nr. RO1744927790L03",draft
TX_bb992164_0006,single,2025-01-30,2,C,2710,1.0,EUR,-1.0,,,"Mokestis, operacijos nr. RO1744927790L03",draft
TX_bb992164_0007,single,2025-01-30,1,D,61120,1.02,EUR,-1.02,,,"170203506 PLAIS palaikymo mokestis.+9230/60+2025-01-28+Debeto mokėjimo nurodymas Nr. 9230 Soc. dr. įmokų įsiskolinimas už 2024 m. 12 mėn. Į, dok. nr. 9230/60-123, unik. mokėj. kodas 9230/60-120, mok. ident. kodas 303104758, operacijos nr. RO1744927790L01",draft
TX_bb992164_0007,single,2025-01-30,2,C,2710,1.02,EUR,-1.02,,,"170203506 PLAIS palaikymo mokestis.+9230/60+2025-01-28+Debeto mokėjimo nurodymas Nr. 9230 Soc. dr. įmokų įsiskolinimas už 2024 m. 12 mėn. Į, dok. nr. 9230/60-123, unik. mokėj. kodas 9230/60-120, mok. ident. kodas 303104758, operacijos nr. RO1744927790L01",draft
TX_bb992164_0008,single,2025-01-30,1,D,635,47.57,EUR,-47.57,,,"+9230/60+2025-01-28+Debeto mokėjimo nurodymas Nr. 9230 Soc. dr. įmokų įsiskolinimas už 2024 m. 12 mėn. Įmokos draudėjų: 47,57 Eur., dok. nr. 9230/60-124, unik. mokėj. kodas 9230/60-119, mok. ident. kodas 303104758, operacijos nr. RD238122943",draft
TX_bb992164_0008,single,2025-01-30,2,C,2710,47.57,EUR,-47.57,,,"+9230/60+2025-01-28+Debeto mokėjimo nurodymas Nr. 9230 Soc. dr. įmokų įsiskolinimas už 2024 m. 12 mėn. Įmokos draudėjų: 47,57 Eur., dok. nr. 9230/60-124, unik. mokėj. kodas 9230/60-119, mok. ident. kodas 303104758, operacijos nr. RD238122943",draft
TX_bb992164_0009,conversion,2025-01-30,1,D,2710,2.02,EUR,2.02,LB_LT,0.83723,"170136821 PLAIS palaikymo mokestis.+9230/60+2025-01-28+Debeto mokėjimo nurodymas Nr. 9230 Soc. dr. įmokų įsiskolinimas už 2024 m. 12 mėn. Įmokos draudėjų: 47,57 Eur. 1.74 GBP/0.86265000/, operacijos nr. RO1744927782L03",draft
TX_bb992164_0009,conversion,2025-01-30,2,C,2715,2.08,GBP,-1.74,LB_LT,0.83723,"170136821 PLAIS palaikymo mokestis.+9230/60+2025-01-28+Debeto mokėjimo nurodymas Nr. 9230 Soc. dr. įmokų įsiskolinimas už 2024 m. 12 mėn. Įmokos draudėjų: 47,57 Eur. 1.74 GBP/0.86265000/, operacijos nr. RO1744927782L03",draft
TX_bb992164_0009,conversion,2025-01-30,3,D,636,0.06,EUR,0.06,LB_LT,0.83723,FX loss based on LB LT rate,draft
TX_bb992164_0010,conversion,2025-01-30,1,D,2710,47.57,EUR,47.57,LB_LT,0.83723,"+9230/60+2025-01-28+Debeto mokėjimo nurodymas Nr. 9230 Soc. dr. įmokų įsiskolinimas už 2024 m. 12 mėn. Įmokos draudėjų: 47,57 Eur. 41.04 GBP/0.86265000/, operacijos nr. RO1744927805L03",draft
